Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name,Exon region start (bp),Exon region end (bp),Exon rank in transcript,Exon stable ID,Strand
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1569973,1575765,14,ENSE00003783572,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1576597,1576720,13,ENSE00003750335,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1578250,1578323,12,ENSE00003739130,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1583204,1583336,11,ENSE00003717646,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1585913,1586051,10,ENSE00001491057,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1590802,1590948,9,ENSE00003727261,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1591269,1591471,8,ENSE00003724341,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1591566,1591699,7,ENSE00003735857,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1616562,1616769,3,ENSE00003720564,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1627715,1627920,2,ENSE00003781750,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1628794,1628836,1,ENSE00003747703,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1593187,1593279,6,ENSE00003743851,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1613195,1613271,5,ENSE00003713275,-1
ENSG00000278550,ENSG00000278550.4,ENST00000634102,ENST00000634102.1,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1614979,1615034,4,ENSE00003748669,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1627715,1627920,2,ENSE00003781750,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1628081,1628341,1,ENSE00003779182,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1576597,1576720,14,ENSE00003750335,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1578250,1578323,13,ENSE00003739130,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1583204,1583336,12,ENSE00003717646,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1585913,1586051,11,ENSE00001491057,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1613195,1613271,5,ENSE00003713275,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1614979,1615034,4,ENSE00003748669,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1616562,1616769,3,ENSE00003720564,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1586949,1586960,10,ENSE00003736366,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1590802,1590948,9,ENSE00003727261,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1591269,1591471,8,ENSE00003724341,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1591566,1591699,7,ENSE00003735857,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1593187,1593279,6,ENSE00003743851,-1
ENSG00000278550,ENSG00000278550.4,ENST00000612931,ENST00000612931.4,SLC43A2,1569973,1628886,CHR_HSCHR17_1_CTG2,1574372,1575765,15,ENSE00003782661,-1
