Gene Name,Transcript ID,Exon ID,C1-intron junction,intro-A junction,A-intron junction,intron-C2 junction,strand
ABI1,ENST00000376137.8,ENSE00001719412,26770345,26771075,26771089,26777065,-1
AGRN,ENST00000620552.4,ENSE00001651515,1050837,1051032,1051043,1051253,1
ANK2,ENST00000634436.1,ENSE00003788105,113311399,113313684,113313695,113317722,1
ANK3,ENST00000618080.4,ENSE00003727146,60134373,60137342,60137353,60138964,-1
AP1G1,ENST00000393512.7,ENSE00002522028,71765584,71767877,71767885,71769623,-1
AP1S2,ENST00000545766.7,ENSE00003743980,15827372,15828192,15828200,15845379,-1
APBB1,ENST00000526925.6,ENSE00003704016,6401688,6401977,6401982,6402082,-1
APBB2,ENST00000504305.5,ENSE00003526808,40830577,40842370,40842375,40856985,-1
ASAP1,ENST00000524124.5,ENSE00001654695,130159964,130160785,130160793,130167536,-1
ASAP2,ENST00000641030.1,ENSE00003812910,9335179,9336036,9336044,9344532,1
ATL1,ENST00000358385.12,ENSE00001754719,50628462,50629995,50630009,50632229,1
ATL2,ENST00000629272.2,ENSE00002523600,38296590,38296686,38296700,38298144,-1
CHCHD3,ENST00000448878.6,ENSE00003813995,132885745,132886974,132886988,132975169,-1
CLIP1,ENST00000648993.1,ENSE00003834461,122274162,122276439,122276444,122278154,-1
CYTH2,ENST00000641098.1,ENSE00003812521,48474949,48477717,48477719,48478069,1
DCTN2,ENST00000434715.7,ENSE00001650567,57538524,57541364,57541372,57546028,-1
DNM1,ENST00000372923.8,ENSE00003625707,128239779,128239985,128239996,128242232,1
DOCK7,ENST00000251157.10,ENSE00001678101,62477825,62487398,62487412,62488934,-1
DOCK9,ENST00000652315.1,ENSE00001607866,98794748,98796206,98796213,98797115,-1
DTNA,ENST00000444659.5,ENSE00001712321,34820915,34825267,34825275,34827593,1
EMC1,ENST00000641089.1,ENSE00003814261,19233135,19234180,19234188,19235130,-1
ENAH,ENST00000635051.1,ENSE00003788991,225530638,225531046,225531057,225554906,-1
ERC1,ENST00000546231.6,ENSE00003641690,1190052,1204501,1204512,1236769,1
ERGIC3,ENST00000357394.8,ENSE00001639968,35548865,35554372,35554386,35555044,1
FNBP1,ENST00000446176.7,ENSE00001639970,129908999,129915966,129915980,129923844,-1
FNBP1L,ENST00000271234.12,ENSE00002292173,93536490,93541042,93541056,93544107,1
FRY,ENST00000642040.1,ENSE00003811969,32254394,32257964,32257972,32261616,1
FRYL,ENST00000641795.1,ENSE00003811917,48523104,48523488,48523496,48527477,-1
GDPD5,ENST00000534322.1,ENSE00002467976,75437048,75439340,75439354,75439879,-1
GRAMD1A,ENST00000317991.9,ENSE00002519772,35022038,35022900,35022911,35023236,1
GULP1,ENST00000409843.5,ENSE00002496434,188587949,188589740,188589750,188593940,1
HOOK3,ENST00000533539.1,ENSE00002186967,42997637,43000271,43000276,43002107,1
ITSN1,ENST00000381318.8,ENSE00002528364,33799929,33802430,33802444,33810975,1
MACF1,ENST00000361689.7,ENSE00003466894,39435761,39436482,39436490,39437777,1
MADD,ENST00000634938.1,ENSE00003786210,47324577,47326544,47326552,47326738,1
MON2,ENST00000641654.1,ENSE00003812019,62543198,62544766,62544768,62544898,1
MYO18A,ENST00000527372.7,ENSE00003655480,29115840,29116444,29116455,29118045,-1
PTK2,ENST00000340930.7,ENSE00003640972,140668424,140669727,140669735,140674298,-1
SLC43A2,ENST00000612931.4,ENSE00003736366,1586051,1586949,1586960,1590802,-1
SPAG9,ENST00000511795.1,ENSE00002523938,51007851,51009131,51009142,51014232,-1
SPTAN1,ENST00000630804.2,ENSE00001783018,128609284,128609651,128609665,128611714,1
SSR1,ENST00000474597.5,ENSE00001988766,7289931,7295088,7295102,7295392,-1
VDAC3,ENST00000522572.5,ENSE00003660231,42395133,42396678,42396680,42398712,1
VPS29,ENST00000360579.11,ENSE00003464120,110496203,110499535,110499546,110502049,-1
